"MessageTraceId","Detail"
"9bc5a4cf-21a1-4a46-3cea-08dc6b786145","Reason: [{LED=550 5.7.1 TRANSPORT.RULES.RejectMessage; the message was rejected by organization policy};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9bc5a4cf-21a1-4a46-3cea-08dc6b786145","Reason: [{LED=550 5.7.1 TRANSPORT.RULES.RejectMessage; the message was rejected by organization policy};{MSG=};{FQDN=};{IP=};{LRT=}]"
"8a38c6f7-cce1-432d-bafa-08dc6b786120","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9a3f3139-0dd1-47c6-9c7b-08dc6b785eb7","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"eb94a264-bbf9-4798-0d65-08dc6b785ddf","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"cdf23feb-ec49-412a-f55c-08dc6b785c98","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c93b6927-59df-408a-9e3f-08dc6b78585d","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:53:03 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"5a444589-adb9-4f7f-0e0a-08dc6b785690","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:59 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"6615d12c-70bd-45da-465c-08dc6b7855fc","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"eb009aec-c381-4a4d-b4d8-08dc6b7854ed","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
